,from,to
482,英屬開曼群島商康而富控股股份有限公司,"British Cayman Islands Shangkang And Fu Holding Co., Ltd."
483,Devar Entertainment Ltd,Brother -in -law Entertainment Latad
484,Brother Ind Ltd,Brother Ind Ltd
485,Brother Industries Ltd,Brother Industries Ltd
486,ブラザー工業株式会社,"Brother Kogyo Co., Ltd."
487,Brown Brian A,Brown Brian A
488,Bruno Delean,Bruno Delean
489,Bubbler International LLC,Bubbler International Llc
490,Burley Paul,Burley Paul
491,C&C Vision International Ltd,C&c Vision International Ltd
492,Cable Television Laboratories Inc,Cable Television Laboratories Inc
493,Cad Zeiss Jena GmbH ,Cad Zeiss Jena Gmbh
494,Cadent Ltd,Cadent Ltd
495, Calhoun Vision Inc,Calhoun Vision Inc
496,Calhoun Vision Inc,Calhoun Vision Inc
497,California Inst Of Techn,California Inst Of Techn
498,CALIFORNIA INSTITUTE OF COMPUTER ASSISTED SURGERY Inc,California Institute Of Computer Assisted Surgery Inc
499,California Institute Of Technology,California Institute Of Technology
500,California Institute of Technology CalTech,California Institute Of Technology
501,California Institute of Technology CalTech ,California Institute Of Technology
502, California Institute of Technology CalTech,California Institute Of Technology Caltech
503, California State University Fresno ,California State University Fresno
504,CALIFORNIA STATE UNIVERSITY SACRAMENTO ,California State University Sacramento
505, Callahan Cellular LLC,Callahan Cellular Llc
506, Callahan Cellular LLC ,Callahan Cellular Llc
507,Callahan Cellular LLC,Callahan Cellular Llc
508,Calvin Chow,Calvin Chow
509, Cambridge Enterprise Ltd,Cambridge Enterprise Ltd
510,Cambridge Enterprise Ltd,Cambridge Enterprise Ltd
511,Cambridge Mechatronics Limited,Cambridge Mechatronics Ltd
512,Cambridge Mechatronics Ltd,Cambridge Mechatronics Ltd
513,Cambrios Film Solutions Corp,Cambrios Film Solutions Corp
514,Saab AB,Can Ab
515,Canadian Bank Note Co Ltd,Canadian Bank Note Co Ltd
516, Canadian Solar China Investment Co Ltd,Canadian Solar China Investment Co Ltd
517, Canadian Solar Manufacturing Changshu Inc ,Canadian Solar Manufacturing Changshu Inc
518,Canon Kabushiki Kaisha,"Canon Co., Ltd."
519,キヤノン株式会社,Canon Inc
520,Canon Inc,Canon Inc
521,Canon Inc ,Canon Inc
522,Кэнон Кабусики Кайся,Canon Kabusiki Kay
523,Canon Kk,Canon Kk
524,Canon Medical Systems Corp,Canon Medical Systems Corp
525,Capella Photonics Inc,Capella Photonics Inc
526,Capital Normal University,Capital Normal University
527,Capital One Services LLC,Capital One Services Llc
528,Capso Vision Inc,Capso Vision Inc
529,"CapsoVision, Inc.","Capsovision, Inc."
530,CAPTAIN JRT LLC,Captain Jrt Llc
531, CareFusion 303 Inc,Carefusion 303 Inc
532,CARES BUILT Inc,Cares Built Inc
533,Carestream Dental Technology Topco Ltd,Carestream Dental Technology Topco Ltd
534,칼 짜이스 에스엠테 게엠베하,Carl Zais Emte Gembeha
535,Carl Zeiss Meditec AG,Carl Zeis Meditec Ag
536, Carl Zeiss AG,Carl Zeiss Ag
537, Carl Zeiss AG ,Carl Zeiss Ag
538, Carl Zeiss Microscopy GmbH,Carl Zeiss Ag
539,Carl Zeiss Ag,Carl Zeiss Ag
540,Carl Zeiss AG ,Carl Zeiss Ag
541,Carl Zeiss SMT GmbH,Carl Zeiss Ag
542,カール・ツァイス・エスエムティー・アーゲー,Carl Zeiss Esemi Age
543,Carl Zeiss Microimaging Gmbh,Carl Zeiss Microimaging Gmbh
544, Carl Zeiss Microscopy GmbH ,Carl Zeiss Microscopy Gmbh
545,Carl Zeiss Microscopy GmbH,Carl Zeiss Microscopy Gmbh
546,Carl Zeiss Microscopy Gmbh,Carl Zeiss Microscopy Gmbh
547,Carl Zeiss Microscopy GmbH ,Carl Zeiss Microscopy Gmbh
548,Carl Zeiss Smt Ag,Carl Zeiss Smt Ag
549,Carl Zeiss SMT GmbH ,Carl Zeiss Smt Gmbh
550,Carlos Hilarion Tellez,Carlos Hilarion Tellez
551,Carol Ann Tosaya,Carol Ann Tosaya
552,Case Western Reserve University,Case Western Reserve University
553,カシオ計算機株式会社,Casio Comput Co Ltd
554,Casio Comput Co Ltd,Casio Comput Co Ltd
555,Casio Computer Co Ltd,Casio Comput Co Ltd
556,Casio Hitachi Mobile Communications Co Ltd,Casio Hitachi Mobile Communications Co Ltd
557,株式会社カシオ日立モバイルコミュニケーションズ,"Casio Hitachi Mobile Communications Co., Ltd."
558,Caterpillar Paving Products Inc,Caterpillar Paving Products Inc
559,가톨릭대학교 산학협력단,Catholic University Industry -academic Cooperation Group
560,Cecile Maissa,Cecile In Countries
561,Cedar Crest Partners Inc,Cedar Crest Partners Inc
562,Celestech Inc,Celestech Inc
563,Cell Focus LLC,Cell Focus Llc
564,CELSIA LLC,Celsia Llc
565,Commissariat A L'energie Atomique,Central Commission Of Nuclear Energy
566,Centurion Vr Inc,Centurion Vr Inc
567,Cerbell; Roberto Santander,Cerbell;roberta Santander
568,Certance LLC,Certance Llc
569,CETC 28 Research Institute,Cetc 28 Research Institute
570,"Chan Zuckerberg Biohub, Inc.","Chan Zuckerberg Biohub, Inc."
571,Changchun Institute of Optics Fine Mechanics and Physics of CAS,Changchun Institute Of Optics Fine Mechanics And Physics Of Cas
572,Changchun University of Science and Technology,Changchun University Of Science And Technology
573,Chang-Feng Wan,Chang-feng Wan
574,Changzhou Maina Photoelectric Technology Co ltd,Changzhou Maina Photoelectric Technology Co Ltd
575,Changzhou Ruitai Photoelectric Co Ltd,Changzhou Ruitai Photoelectric Co Ltd
576,超金光学有限公司,"Chaojin Optical Co., Ltd."
577,超金光學有限公司,"Chaojin Optical Co., Ltd."
578,Charles C. Carrington,Charles C. Carrington
579,Charles D Campbell,Charles D Campbell
580,Charles D. Huston,Charles D. Huston
581,Charles DeBoer,Charles Deboer
582,Charles Stark Draper Laboratory Inc,Charles Stark Draper Laboratory Inc
583,Chartoleaux KG LLC,Chartoleaux Kg Llc
584,Che-Chih Tsao,Che-chih Tsao
585,ChemImage Corp,Chemimage Corp
586,Chen Aharon-Attar,Chen Aharon-attar
587,Chen Feng,Chen Feng
588,Cheng-Chung Huang,Cheng-chun Ge Huang
589, Chengdu BOE Optoelectronics Technology Co Ltd,Chengdu Boe Optoelectronics Technology Co Ltd
590,成都理想境界科技有限公司,"Chengdu Ideal Realm Technology Co., Ltd."
591,Chengdu Idealsee Technology Co Ltd,Chengdu Idealsee Technology Co Ltd
592,Chengdu Kai Code Information Technology Co Ltd ,Chengdu Kai Code Information Technology Co Ltd
593,Chengdu Shien Medical Treatment Technology Co Ltd,Chengdu Shien Medical Treatment Technology Co Ltd
594,Chengdu Weijing Jingtai Technology Co Ltd,Chengdu Without Static Technology
595,"CHEYTEC TECHNOLOGIES, LLC","Cheytec Technologies, Llc"
596,Chicony Electronics Co Ltd,Chicony Electronics Co Ltd
597,Childrens National Medical Center Inc,Childrens National Medical Center Inc
598,China Academy of Telecommunications Technology CATT,China Academy Of Telecommunications Technology Catt
599,China Core Integrated Circuit Ningbo Co Ltd,China Core Integrated Circuit Ningbo Co Ltd
600,China Jiliang University,China Dose University
601,China Jiliang University ,China Dose University
602,China Mobile Internet Technologies Inc,China Mobile Internet Technologies Inc
603,China Optoelectronic Intelligent Sensing Co Ltd ,China Optoelectronic Intelligent Sensing Co Ltd
604, China Petroleum and Chemical Corp,China Petroleum And Chemical Corp
605,China University of Geosciences,China University Of Geosciences
606, China University of Metrology,China University Of Metrology
607,CHIRON ADATOMED PHARMAZEURISCHE UND MEDIZINTECHNISCHE GmbH,Chiron Adatomed Pharmace
608,최명렬,Choi Myung -ryul
609,Chongqing Ts Precision Technology Co ltd,Chongqing Ts Precision Technology Co Ltd
610,Chongqing TS Precision Technology Co Ltd,Chongqing Ts Precision Technology Co Ltd
611,Chongqing University ,Chongqing University
612,Chris Coleman,Chris Coleman
613,Christie Digital Systems USA Inc,Christie Digital Systems Usa Inc
614,Christoph Dobrusskin,Christoph Dobrussky
615,Chumming Niu,Chumming Cattle
616,Chunming Niu,Chun Mingniu
617,중앙대학교 산학협력단,Chung -ang University Industry -academic Cooperation Group
618,충북대학교 산학협력단,Chungbuk National University Industry -academic Cooperation Group
619,Chunghwa Picture Tubes Ltd,Chunghwa Picture Tubes Ltd
620,Chungming Niu,Chungming Niu
621,春虹光電股份有限公司,"Chunhong Optoelectronics Co., Ltd."
622,Chongqing Sheng Tai Optoelectronic Co ltd,"Chunhong Optoelectronics Co., Ltd."
623, Ciba Vision AG,Ciba Vision Ag
624, Ciba Vision Corp,Ciba Vision Corp
625,Cinemoi North America LLC,Cinemoi North America Llc
626,Cisco Technology Inc,Cisco Technology Inc
627,CITAQ CO LTD ,Citaq
628,Citizen Electronics Co Ltd,Citizen Electronics Co Ltd
629,シチズン電子株式会社,"Citizen Electronics Co., Ltd."
630,Citizen Holdings Co Ltd,Citizen Holdings Co Ltd
631,シチズンホールディングス株式会社,"Citizen Holdings Co., Ltd."
632,시티즌 덴시 가부시키가이샤,Citizen Tenshi Kabu Shikaisha
633,Citizen Watch Co Ltd,Citizen Watch Co Ltd
634,シチズン時計株式会社,"Citizen Watch Co., Ltd."
635,Toshio Fukui,City Fukui
636,Shiseido Co Ltd,City System
637,City University of Hong Kong CityU,City University Of Hong Kong Cityu
638,Claas E-Systems Verwaltungs GmbH ,Claas E-systems Verwaltungs Gmbh
639,Clarient Inc,Clarient Inc
640,クラリエント・インコーポレーテッド,Clarient Incorporated
641,クラリオン株式会社,"Clarion Co., Ltd."
642,"CLARK, Jane","Clark, Jane"
643,Clarke Gerald P,Clarke Gerald P
644, Claas E Systems GmbH,Class A Sastens Gambhi
645,Clemson University,Clemson University
646,Clerio Vision Inc,Clerio Vision Inc
647,"Clerio Vision, Inc.","Clerio Vision, Inc."
648,Cloudminds Robotics Co Ltd,Cloudminds Robotics Co Ltd
649,Cloudminds Shenzhen Robotics Systems Co Ltd,Cloudminds Shenzhen Robotics Systems Co Ltd
650,CLSN LABORATORIES Inc,Clsn Laboratories Inc
651,Coca Cola Co,Coca Cola What
652,Cognex Corp,Cognex Corp
653,コグネックス・コーポレイション,Cognex Corporation
654,Cognex Technology And Investment Corporation,Cognex Technology And Investment Corporation
655,Cognifisense Inc,Cognifisense Inc
656,Coherent Inc,Coherent Inc
657,Colin Gavrilenco,Colin Gavrilenco
658,Collinear Networks Inc ,Collinear Networks Inc
659,"Collumbia University in City York, University of, Trustees of","Collumbia University In City York, University Of, Trustees Of"
660,Colopl Inc,Colopl Inc
661,Columbia Peak Ventures LLC,Columbia Peak Ventures Llc
662,Columbia University of New York,Columbia University Of New York
663,Colvard; Michael,Colvard; Michael
664,コミッサリア ア レネルジー アトミーク エ オ ゼネルジ ザルタナテイヴ,Comicaria Arrainerzy Atomic Againel Ji Zartana Tive
665,コーニンクレッカ フィリップス エレクトロニクス エヌ ヴィ,Comin Crekka Philips Electronics N Vi
666,Commissariat a lEnergie Atomique et aux Energies Alternatives CEA ,Commissariat To Lenergie Atomique Et Aux Energies Alternatives Cea
667,Chang Jen Hao,Common Grace
668,COMMUNICATION RESEARCH LABORATORY OF MINISTRY OF POSTS AND TELECOMMUNICATIONS ,Communication Research Laboratory Of Ministry Of Posts And Telecommunications
669,Communications Research Centre Canada,Communications Research Centre Canada
670,Kowa Company Ltd,Company Ltd
671,Complete Genomics Inc,Complete Genomics Inc
672,Compology Inc,Compology Inc
673, Concraft Holding Co Ltd,Concraft Holding Co Ltd
674,Concraft Holding Co Ltd,Concraft Holding Co Ltd
675,Eidgenoessische Technische Hochschule Zurich ETHZ,Confederation Of The Zurich Technical University Of Technology
676,Eidgenoessische Technische Hochschule Zurich ETHZ ,Confederation Of The Zurich Technical University Of Technology
677,Connaught Electronics Ltd,Connaught Electronics Ltd
678,Kang Ni Chaikesi,Connie
679,코닌클리케 필립스 일렉트로닉스 엔.브이.,Connon Climate Philips Electronic All. V.
680,Schlage Lock Co LLC,Consider Lock Co Llc
681,財團法人工業技術研究院,Consortium Legal Person Industrial Technology Research Institute
682,財團法人印刷工業技術研究中心,Consortium Legal Person Printing Industry Technology Research Center
683, Consumer Lighting US LLC,Consumer Lighting Us Llc
684,Conti Temic Microelectronic GmbH,Conti Temic Microelectronic Gmbh
685,Continental Advanced Lidar Solutions US LLC,Continental Advanced Lidar Solutions Us Llc
686,Continental Automotive Systems Inc,Continental Automotive Systems Inc
687,合同会社ＩＰ Ｂｒｉｄｇｅ１号,Contract Club Ip Bridge No.1
688,Peyman; Gholam A.,Contract;gholam A.
689,"Contrast, Inc.","Contrast, Inc."
690,Conway Jerry L,Conway Jerry L
691,Cooper Companies Inc,Cooper Companies Inc
692, CooperVision Inc,Coopervision Inc
693,"Coopervision International Holding Company, Lp","Coopervision International Holding Company, Lp"
694,Coopervision International Limited,Coopervision International Limited
695,CooperVision International Ltd,Coopervision International Ltd
696,CooperVision International Ltd ,Coopervision International Ltd
697,Kopin Corp,Copin Cup
698, Cordata Inc,Cordala Inc.
699,Core Alliance Technology Co Ltd ,Core Alliance Technology Co Ltd
700,Core Photoelectric Co Ltd,Core Photoelectric Co Ltd
701,Core Photoelectric Co Ltd ,Core Photoelectric Co Ltd
702,코어포토닉스 리미티드,Core Photonics Limited
703, Corephotonics Ltd,Corephotonics Ltd
704,Corephotonics Ltd,Corephotonics Ltd
705,Corephotonics Ltd.,Corephotonics Ltd.
706, Coretronic Corp,Coretronic Corp
707,Coretronic Corp,Coretronic Corp
708,Cornell Research Foundation Inc,Cornell Research Foundation Inc
709,Cornell University,Cornell University
710,Corning Inc,Corning Inc
711,Corning Inc ,Corning Inc
712,Corning Incorporated,Corning Inc
713,코닝 인코포레이티드,Corning Inc
714,Corning Lasertron Inc,Corning Lasertron Inc
715,Corning Optical Communications LLC,Corning Optical Communications Llc
716,Kabushiki Kaisha Toshiba,Corporation And Turf
717,株式会社びにっと,Corporation Binito
718,株式会社ジオ技術研究所,Corporation Geo Technology Research Institute
719,주식회사 포인칩스,Corporation Poin Chips
720,Cotter Tim S,Cotter Tim S
721,Covestro Deutschland AG,Covestro Deutschland Ag
722,Covestro Deutschland AG ,Covestro Deutschland Ag
723,Covestro LLC,Covestro Llc
724,Covidien LP,Covidien Lp
725,Cox Automotive Inc,Cox Automotive Inc
726,CR Bard Inc,Cr Bard Inc
727,Cr Management Services Inc,Cr Management Services Inc
728,"Craig Alan CABLE, III","Craig Alan Cable, Iii"
729,Creaform Inc,Creaform Inc
730,CREATIVE PHYSICS Ltd,Creative Physics Ltd
731,Creative Sensor Inc,Creative Sensor Inc
732,Creative Tech Ltd,Creative Tech Ltd
733,Creative Technology Ltd,Creative Technology Ltd
734,"Cree, Inc.","Cree, Inc."
735,Creeled Inc,Creeled Inc
736,Creo SRL,Creo SRL
737,Wataru Ikeda,Crossing Ikeda
738,CRRC Qishuyan Institute Co Ltd,Crrc Qishuyan Institute Co Ltd
739,CSEM Centre Suisse d'Electronique et de Microtechnique SA - Recherche et Développement,Csem Swiss Center For Electronics And Microtechnic Sa - Research And Development
740,CSI Solar Power Group Co Ltd ,Csi Solar Power Group Co Ltd
741,CSP Technology North America LLC ,Csp Technology North America Llc
742, CSR Technology Inc,Csr Technology Inc
743,CSR Technology Inc,Csr Technology Inc
744,クゥアルコム・インコーポレイテッド,Cualcom Incorporated
745,Cumming J. Stuart,Cumming J. Stuart
746,Cuneyt Oncel Tuzel,Cuneyt Oncel Tuzel
747,CUREFAB GmbH,Curefab Gmbh
748,Curious Co LLC,Curious Co Llc
749,Curley Thomas E,Curley Thomas E
750,Current Lighting Solutions LLC ,Current Lighting Solutions Llc
751,Cy Vision Inc.,Cy Vision Inc.
752,CyberArk Software Ltd,Cyberark Software Ltd
753,Cynthia Roberts,Cynthia Roberts
754,Czech Academy of Sciences CAS,Czech Academy Of Sciences Cas
755,大立光電股份有限公司,"Da Li Photoelectric Co., Ltd."
756,Dag Michael Peter Hansson,Dag Michael Peter Hansson
757,Dahl-Young Khang,Dahl-young Khang
758,Dai Nippon Printing Co Ltd,Dai Nippon Printing Co Ltd
759,Dalian University,Dalian University
760,Dalian University of Technology ,Dalian University Of Technology
761,Danfoss AS,Danfoss As
762,Daniel Lee Stark,Daniel Lee Stark
763,Danylo Kozub,Danylo Kozub
764,Darwin Hu,Darwin Hu
765,Dassault Systemes Americas Corp,Dassault Systems America Corp
766,Dassault Systemes SE,Dassault Systems Is
767,Datalogic Automation SRL,Datalogic Automation Srl
768,Datalogic IP Tech SRL,Datalogic Ip Tech Srl
769,"Datalogic IP Tech, S.r.l.",Datalogic Ip Tech Srl
770,Datalogic Scanning Group SRL,Datalogic Ip Tech Srl
771,Datalogic SpA,Datalogic Ip Tech Srl
772,Datalogic USA Inc,Datalogic Ip Tech Srl
773, Datamax ONeil Corp,Datamax Oneil Corp
774,Datamas-O'neil Corp,Datamax Oneil Corp
775,Datamax ONeil Corp,Datamax Oneil Corp
776,David A. Paslin,David A.paste
777,David Chaum,David Chaum
778,David Douglas,David Douglas
779,David G Grossman,David G Grossman
780,David Jones,David Jones
781,David Markus,David Markus
782,David Miller,David Miller
783,David Muller,David Muller
784,David Stumbo,David Stumbo
785,大陽科技股份有限公司,"Dayang Technology Co., Ltd."
786,DB HiTek Co Ltd,Db Beliefs
787,De In Shaw,De In Shaw
788,Dean Scribner,Dean Scribner
789,深▲セン▼前▲海▼▲達▼▲闥▼▲雲▼端智能科技有限公司,"Deep ▲ ▼ セ ▲ Hai ▼ ▲ Da ▼ ▲ 闼 ▼ ▲ Cloud ▼ Duan Smart Technology Co., Ltd."
790,深▲セン▼前▲海▼▲達▼▲闥▼▲雲▼端智能科技有限公司Ｃｌｏｕｄｍｉｎｄｓ （Ｓｈｅｎｚｈｅｎ） Ｒｏｂｏｔｉｃｓ Ｓｙｓｔｅｍｓ Ｃｏ．， Ｌｔｄ．,"Deep ▲ ▼ セ ▲ Hai ▼ ▲ Da ▼ ▲ 闼 ▼ ▲ Cloud ▼ Duan Smart Technology Co., Ltd. Cloudminds (shenｚhen) Robotics Systems Co., Ltd."
791, Deep Science LLC,Deep Science Llc
792,ディープ ヴィデオ イメイジング リミテッド,Deep Video Imaging Limited
793,Deep Video Imaging Limited,Deep Video Imaging Limited
794, Deep Video Imaging Ltd,Deep Video Imaging Ltd
795,Deep Video Imaging Ltd,Deep Video Imaging Ltd
796,DeepRoute AI Ltd,Deepproute Is Ltd
797,Rambus Delaware LLC,Delaware Rambus Llc
798,Dell Products LP,Dell Products Lp
799,得能创科有限公司,"Dengchuangke Co., Ltd."
800,株式会社デンソー,"Denso Co., Ltd."
801,Denso Corp,Denso Corp
